Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
д. Нижняя Золотица;135693;Архангельская область;Приморский муниципальный район;Нижняя Золотица;д;74;24;65.41.35;040.10.50;65.69305556;40.18055556;11652460128;0;1;деревня
пос. Новый Софпорог;61162;Республика Карелия;Лоухский;Новый Софпорог;п;74;26;65.49.11;031.29.26;65.81972222;31.49055556;86621425126;0;1;поселок
д. Прилуки;35271;Архангельская область;Онежский муниципальный район;Прилуки;д;74;16;63.13.54;039.07.46;63.23166667;39.12944444;11646444261;0;1;деревня
д. Яреньга;6873;Архангельская область;Приморский муниципальный район;Яреньга;д;74;13;64.52.45;037.56.17;64.87916667;37.93805556;11652448117;0;1;деревня
пос. Пояконда;116601;Мурманская область;Кандалакшский муниципальный район;Пояконда;нп;73;3;66.35.24;032.49.22;66.59;32.82277778;47608158;1;0;поселок
д. Старотуруханск;87861;Красноярский край;Туруханский район;Старотуруханск;д;72;8;65.54.53;087.34.33;65.91472222;87.57583333;4654701967;0;1;деревня
д. Сумароково;18299;Красноярский край;Туруханский район;Сумароково;д;72;32;61.39.30;089.45.07;61.65833333;89.75194444;4654404116;0;1;деревня
д. Тошвиска;79318;Ненецкий автономный округ;Заполярный район;Тошвиска;д;71;6;67.07.15;052.18.05;67.12083333;52.30138889;11811434116;0;1;деревня
д. Селиваниха;63988;Красноярский край;Туруханский район;Селиваниха;д;70;17;65.51.53;087.52.25;65.86472222;87.87361111;4654434106;0;1;деревня
с. Толька;31770;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Толька (село);с;69;12;63.23.50;080.05.15;63.39722222;80.0875;71920701902;0;1;село
д. Шотогорка;117946;Архангельская область;Пинежский муниципальный район;Шотогорка;д;69;10;64.10.35;044.11.50;64.17638889;44.19722222;11648425151;1;0;деревня
пос. Ямбура;85181;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Ямбура;п;69;33;66.48.32;068.48.28;66.80888889;68.80777778;71918403121;0;1;поселок
д. Горка;153465;Архангельская область;Приморский муниципальный район;Горка;х;68;17;64.57.11;040.21.09;64.95305556;40.3525;11652460110;1;0;деревня
д. Лампожня;143128;Архангельская область;Мезенский муниципальный район;Лампожня;д;68;8;65.41.34;044.19.23;65.69277778;44.32305556;11642101121;0;1;деревня
д. Снопа;110905;Ненецкий автономный округ;Заполярный район;Снопа;д;68;8;66.44.26;047.00.53;66.74055556;47.01472222;11811457111;0;1;деревня
с. Гридино;147927;Республика Карелия;Кемский;Гридино;с;67;0;65.55.13;034.40.11;65.92027778;34.66972222;86612444106;0;1;село
пос. Красный Бор;32403;Архангельская область;Пинежский муниципальный район;Красный Бор;п;67;12;64.51.38;043.26.41;64.86055556;43.44472222;11648427236;0;1;поселок
д. Окулово;105066;Архангельская область;Приморский муниципальный район;Окулово;д;67;8;64.27.54;040.38.11;64.465;40.63638889;11652436101;0;1;деревня
д. Сафоново;112408;Архангельская область;Мезенский муниципальный район;Сафоново (деревня);д;67;8;65.40.20;047.41.26;65.67222222;47.69055556;11642404116;0;1;деревня
д. Явзора;39579;Архангельская область;Пинежский муниципальный район;Явзора;д;67;7;63.42.20;045.25.00;63.70555556;45.41666667;11648420126;0;1;деревня
д. Кутованга;64835;Архангельская область;Онежский муниципальный район;Кутованга;д;66;13;63.12.07;039.13.09;63.20194444;39.21916667;11646444191;0;1;деревня
с. Мачах;74638;Республика Саха (Якутия);Верхоянский;Мачах;с;66;20;67.33.20;132.53.23;67.55555556;132.8897222;98616477106;0;1;село
д. Черногорская;121332;Республика Коми;МР Усть-Цилемский;Черногорская;д;65;7;65.01.14;052.18.53;65.02055556;52.31472222;87652435136;1;0;деревня
д. Айнова;52941;Архангельская область;Пинежский муниципальный район;Айнова;д;64;17;63.57.33;044.33.15;63.95916667;44.55416667;11648408106;0;1;деревня
д. Мыла;10310;Республика Коми;МР Усть-Цилемский;Мыла;д;64;2;65.25.30;050.52.49;65.425;50.88027778;87652450106;0;1;деревня
д. Палуга;60789;Архангельская область;Лешуконский муниципальный район;Палуга;д;64;11;65.13.52;045.16.14;65.23111111;45.27055556;11638428136;0;1;деревня
д. Чакола;57613;Архангельская область;Пинежский муниципальный район;Чакола;д;64;7;64.19.00;044.19.16;64.31666667;44.32111111;11648425131;0;1;деревня
д. Немнюга;147254;Архангельская область;Пинежский муниципальный район;Немнюга;д;62;11;63.58.31;044.24.25;63.97527778;44.40694444;11648412116;0;1;деревня
д. Ворзогоры;57061;Архангельская область;Онежский муниципальный район;Ворзогоры;д;61;5;63.53.25;037.40.11;63.89027778;37.66972222;11646416106;1;0;деревня
д. Заакакурье;31047;Архангельская область;Мезенский муниципальный район;Заакакурье;д;61;9;65.43.21;044.22.13;65.7225;44.37027778;11642101111;0;1;деревня
д. Карьеполье;100091;Архангельская область;Мезенский муниципальный район;Карьеполье;д;61;8;65.32.23;043.41.10;65.53972222;43.68611111;11642444106;0;1;деревня
с. Каневка;116851;Мурманская область;Ловозерский муниципальный район;Каневка;с;59;3;67.07.34;039.40.18;67.12611111;39.67166667;47610401106;0;1;село
д. Пуново;90877;Архангельская область;Приморский муниципальный район;Пуново;д;59;17;64.28.26;040.29.46;64.47388889;40.49611111;11652408201;0;1;деревня
д. Большая Фехтальма;114070;Архангельская область;Онежский муниципальный район;Большая Фехтальма;д;57;11;63.11.10;039.11.19;63.18611111;39.18861111;11646444111;0;1;деревня
д. Великое;64458;Архангельская область;Приморский муниципальный район;Великое;д;57;9;64.28.12;040.30.58;64.47;40.51611111;11652408126;0;1;деревня
д. Верхнее Бугаево;50337;Республика Коми;МР Усть-Цилемский;Верхнее Бугаево;д;57;10;65.56.31;052.27.48;65.94194444;52.46333333;87652405106;0;1;деревня
д. Засулье;8742;Архангельская область;Лешуконский муниципальный район;Засулье;д;57;9;64.40.17;047.48.43;64.67138889;47.81194444;11638406106;0;1;деревня
д. Куя;93529;Ненецкий автономный округ;Заполярный район;Куя;д;57;3;67.46.13;053.16.02;67.77027778;53.26722222;11811461106;0;1;деревня
ст. Нименьга;95139;Архангельская область;Онежский муниципальный район;Нименьга (станция);ж/д_ст;56;12;63.42.42;037.38.28;63.71166667;37.64111111;11646416101;0;1;станция
